order_requests,nb_requete,hotel_id,price,stock,city,date,language,mobile,avatar_id,group,brand,parking,pool,children_policy,target
4457,1,604,108.0,21,amsterdam,23,hungarian,0,266534,Accar Hotels,Navatel,1,0,0,1
4464,1,575,86.0,52,madrid,27,hungarian,1,281139,Independant,Independant,1,0,1,1
4457,1,271,79.0,6,amsterdam,23,hungarian,0,266534,Independant,Independant,1,0,0,1
4457,1,117,73.0,15,amsterdam,23,hungarian,0,266534,Yin Yang,8 Premium,1,0,0,1
4457,1,517,112.0,32,amsterdam,23,hungarian,0,266534,Boss Western,Boss Western,1,0,0,1
4421,1,253,248.0,165,amsterdam,37,austrian,1,266493,Accar Hotels,Safitel,0,1,2,1
4457,1,52,152.0,28,amsterdam,23,hungarian,0,266534,Chillton Worldwide,Tripletree,0,0,0,1
4457,1,45,159.0,28,amsterdam,23,hungarian,0,266534,Yin Yang,Ardisson,0,0,0,1
4457,1,507,110.0,20,amsterdam,23,hungarian,0,266534,Boss Western,Boss Western,0,0,0,1
4457,1,921,79.0,24,amsterdam,23,hungarian,0,266534,Independant,Independant,0,0,0,1
4457,1,82,106.0,25,amsterdam,23,hungarian,0,266534,Independant,Independant,0,0,0,1
4457,1,891,101.0,11,amsterdam,23,hungarian,0,266534,Independant,Independant,1,0,0,1
4457,1,283,99.0,26,amsterdam,23,hungarian,0,266534,Independant,Independant,1,0,0,1
4457,1,674,117.0,30,amsterdam,23,hungarian,0,266534,Accar Hotels,Navatel,0,0,0,1
4453,1,529,232.0,78,amsterdam,25,irish,1,266530,Morriott International,Corlton,1,0,1,1
4457,1,22,158.0,24,amsterdam,23,hungarian,0,266534,Yin Yang,Ardisson,1,0,0,1
4457,1,493,153.0,26,amsterdam,23,hungarian,0,266534,Chillton Worldwide,Tripletree,0,0,0,1
4465,1,235,115.0,106,madrid,40,hungarian,0,281151,Morriott International,CourtYord,0,0,0,1
4458,1,688,81.0,71,copenhagen,36,hungarian,0,281106,Independant,Independant,0,0,1,1
4457,1,918,289.0,55,amsterdam,23,hungarian,0,266534,Morriott International,Corlton,1,1,0,1
4457,1,429,243.0,63,amsterdam,23,hungarian,0,266534,Chillton Worldwide,Chill Garden Inn,0,0,0,1
4457,1,685,259.0,51,amsterdam,23,hungarian,0,266534,Morriott International,Corlton,0,0,1,1
4457,1,88,123.0,20,amsterdam,23,hungarian,0,266534,Boss Western,Boss Western,0,0,0,1
4457,1,777,150.0,32,amsterdam,23,hungarian,0,266534,Yin Yang,Ardisson,0,0,0,1
4457,1,588,169.0,1,amsterdam,23,hungarian,0,266534,Independant,Independant,0,0,0,1
4457,1,482,78.0,10,amsterdam,23,hungarian,0,266534,Accar Hotels,Ibas,1,0,0,1
4457,1,779,182.0,47,amsterdam,23,hungarian,0,266534,Morriott International,Morriot,1,0,2,1
4457,1,809,248.0,61,amsterdam,23,hungarian,0,266534,Chillton Worldwide,Chill Garden Inn,0,1,0,1
4457,1,916,105.0,29,amsterdam,23,hungarian,0,266534,Boss Western,Boss Western,1,0,0,1
4457,1,969,74.0,20,amsterdam,23,hungarian,0,266534,Accar Hotels,Ibas,1,0,0,1
4459,1,59,105.0,96,vilnius,38,hungarian,0,281108,Boss Western,J.Halliday Inn,1,0,0,1
4457,1,657,157.0,46,amsterdam,23,hungarian,0,266534,Chillton Worldwide,Quadrupletree,1,0,0,1
4457,1,85,101.0,21,amsterdam,23,hungarian,0,266534,Boss Western,Boss Western,1,0,0,1
4457,1,163,170.0,50,amsterdam,23,hungarian,0,266534,Yin Yang,Royal Lotus,0,1,0,1
4465,1,822,134.0,156,madrid,40,hungarian,0,281151,Morriott International,Morriot,1,0,0,1
4459,1,215,71.0,37,vilnius,38,hungarian,0,281108,Independant,Independant,1,0,0,1
4430,1,529,227.0,78,amsterdam,25,romanian,1,266500,Morriott International,Corlton,1,0,1,1
4459,1,118,76.0,76,vilnius,38,hungarian,0,281108,Boss Western,Boss Western,1,0,0,1
4464,1,284,130.0,36,madrid,27,hungarian,1,281139,Yin Yang,Ardisson,1,0,1,1
4457,1,230,102.0,24,amsterdam,23,hungarian,0,266534,Boss Western,Boss Western,1,0,0,1
4457,1,750,110.0,12,amsterdam,23,hungarian,0,266534,Independant,Independant,1,1,0,1
4394,1,253,321.0,25,amsterdam,14,italian,1,266460,Accar Hotels,Safitel,0,1,2,1
4459,1,794,181.0,185,vilnius,38,hungarian,0,281108,Morriott International,Corlton,1,0,0,1
4457,1,945,144.0,40,amsterdam,23,hungarian,0,266534,Chillton Worldwide,Tripletree,0,0,0,1
4459,1,240,132.0,138,vilnius,38,hungarian,0,281108,Yin Yang,Royal Lotus,0,0,2,1
4457,1,103,176.0,55,amsterdam,23,hungarian,0,266534,Yin Yang,Royal Lotus,1,1,0,1
4461,1,529,213.0,265,amsterdam,43,hungarian,1,281117,Morriott International,Corlton,1,0,1,1
4457,1,971,154.0,26,amsterdam,23,hungarian,0,266534,Chillton Worldwide,Tripletree,1,0,0,1
4456,1,529,241.0,133,amsterdam,32,austrian,1,266532,Morriott International,Corlton,1,0,1,1
4465,1,525,81.0,86,madrid,40,hungarian,0,281151,Boss Western,Boss Western,0,0,0,1
4457,1,196,107.0,8,amsterdam,23,hungarian,0,266534,Independant,Independant,1,0,0,1
4462,1,403,255.0,75,vienna,26,hungarian,0,281130,Chillton Worldwide,Chill Garden Inn,0,1,1,1
4457,1,101,265.0,49,amsterdam,23,hungarian,0,266534,Accar Hotels,Safitel,1,0,0,1
4465,1,79,88.0,91,madrid,40,hungarian,0,281151,Boss Western,Boss Western,0,0,0,1
4457,1,105,152.0,26,amsterdam,23,hungarian,0,266534,Yin Yang,Ardisson,0,0,0,1
4465,1,418,120.0,107,madrid,40,hungarian,0,281151,Boss Western,J.Halliday Inn,1,0,0,1
4457,1,505,102.0,24,amsterdam,23,hungarian,0,266534,Independant,Independant,0,0,1,1
4388,1,529,227.0,124,amsterdam,31,romanian,0,266454,Morriott International,Corlton,1,0,1,1
4457,1,212,194.0,36,amsterdam,23,hungarian,0,266534,Yin Yang,Royal Lotus,0,1,0,1
4465,1,860,113.0,107,madrid,40,hungarian,0,281151,Yin Yang,Ardisson,0,0,0,1
4457,1,223,147.0,20,amsterdam,23,hungarian,0,266534,Boss Western,J.Halliday Inn,0,0,0,1
4457,1,680,147.0,13,amsterdam,23,hungarian,0,266534,Independant,Independant,1,0,0,1
4457,1,264,77.0,10,amsterdam,23,hungarian,0,266534,Independant,Independant,1,0,0,1
4457,1,515,271.0,50,amsterdam,23,hungarian,0,266534,Accar Hotels,Safitel,1,1,0,1
4457,1,375,103.0,24,amsterdam,23,hungarian,0,266534,Independant,Independant,1,0,0,1
4457,1,417,148.0,32,amsterdam,23,hungarian,0,266534,Morriott International,CourtYord,0,0,0,1
4465,1,888,185.0,218,madrid,40,hungarian,0,281151,Morriott International,Corlton,1,0,1,1
4465,1,67,187.0,224,madrid,40,hungarian,0,281151,Chillton Worldwide,Chill Garden Inn,0,0,0,1
4459,1,589,56.0,42,vilnius,38,hungarian,0,281108,Independant,Independant,0,0,1,1
4458,1,122,266.0,185,copenhagen,36,hungarian,0,281106,Accar Hotels,Safitel,0,1,1,1
4457,1,460,81.0,4,amsterdam,23,hungarian,0,266534,Accar Hotels,Ibas,0,0,0,1
4457,1,960,261.0,56,amsterdam,23,hungarian,0,266534,Chillton Worldwide,Chill Garden Inn,0,0,0,1
4465,1,600,58.0,46,madrid,40,hungarian,0,281151,Independant,Independant,1,0,0,1
4465,1,733,87.0,89,madrid,40,hungarian,0,281151,Boss Western,Boss Western,1,0,0,1
4394,1,529,242.0,20,amsterdam,14,italian,1,266460,Morriott International,Corlton,1,0,1,1
4457,1,627,103.0,10,amsterdam,23,hungarian,0,266534,Independant,Independant,0,0,0,1
4465,1,737,136.0,155,madrid,40,hungarian,0,281151,Accar Hotels,Marcure,0,0,0,1
4465,1,261,86.0,95,madrid,40,hungarian,0,281151,Boss Western,Boss Western,0,0,0,1
4430,1,253,254.0,74,amsterdam,25,romanian,1,266500,Accar Hotels,Safitel,0,1,2,1
4465,1,904,87.0,84,madrid,40,hungarian,0,281151,Boss Western,Boss Western,0,0,0,1
4457,1,12,76.0,12,amsterdam,23,hungarian,0,266534,Independant,Independant,0,0,0,1
4457,1,253,249.0,65,amsterdam,23,hungarian,0,266534,Accar Hotels,Safitel,0,1,2,1
4457,1,214,180.0,40,amsterdam,23,hungarian,0,266534,Chillton Worldwide,Quadrupletree,0,1,0,1
4457,1,172,119.0,21,amsterdam,23,hungarian,0,266534,Accar Hotels,Navatel,1,0,0,1
4457,1,570,105.0,24,amsterdam,23,hungarian,0,266534,Independant,Independant,1,0,0,1
4457,1,111,115.0,19,amsterdam,23,hungarian,0,266534,Boss Western,Boss Western,1,0,0,1
4457,1,967,76.0,34,amsterdam,23,hungarian,0,266534,Independant,Independant,1,0,0,1
4457,1,234,152.0,28,amsterdam,23,hungarian,0,266534,Boss Western,J.Halliday Inn,0,0,0,1
4457,1,86,109.0,27,amsterdam,23,hungarian,0,266534,Independant,Independant,1,0,0,1
4420,1,253,223.0,217,amsterdam,41,estonian,1,266492,Accar Hotels,Safitel,0,1,2,1
4437,1,253,341.0,23,amsterdam,13,finnish,1,266507,Accar Hotels,Safitel,0,1,2,1
4454,2,529,275.0,14,amsterdam,12,irish,1,266530,Morriott International,Corlton,1,0,1,1
4457,1,369,73.0,5,amsterdam,23,hungarian,0,266534,Independant,Independant,1,0,0,1
4457,1,441,177.0,36,amsterdam,23,hungarian,0,266534,Yin Yang,Royal Lotus,0,0,0,1
4457,1,706,123.0,18,amsterdam,23,hungarian,0,266534,Boss Western,Boss Western,0,0,1,1
4457,1,311,100.0,27,amsterdam,23,hungarian,0,266534,Independant,Independant,1,0,0,1
4457,1,256,76.0,12,amsterdam,23,hungarian,0,266534,Accar Hotels,Ibas,1,0,0,1
4457,1,83,153.0,26,amsterdam,23,hungarian,0,266534,Yin Yang,Ardisson,0,0,0,1
4457,1,788,106.0,18,amsterdam,23,hungarian,0,266534,Independant,Independant,1,0,0,1
4457,1,594,226.0,99,amsterdam,23,hungarian,0,266534,Chillton Worldwide,Chill Garden Inn,0,1,0,1
4457,1,450,167.0,64,amsterdam,23,hungarian,0,266534,Morriott International,Morriot,0,0,0,1
4457,1,821,105.0,26,amsterdam,23,hungarian,0,266534,Independant,Independant,0,0,0,1
4457,1,806,261.0,63,amsterdam,23,hungarian,0,266534,Chillton Worldwide,Chill Garden Inn,0,0,1,1
4417,1,253,259.0,89,amsterdam,28,austrian,1,266489,Accar Hotels,Safitel,0,1,2,1
4465,1,789,58.0,44,madrid,40,hungarian,0,281151,Accar Hotels,Ibas,1,0,0,1
4457,1,676,70.0,11,amsterdam,23,hungarian,0,266534,Independant,Independant,0,0,0,1
4457,1,880,112.0,21,amsterdam,23,hungarian,0,266534,Boss Western,Boss Western,0,0,0,1
4457,1,745,101.0,21,amsterdam,23,hungarian,0,266534,Independant,Independant,0,0,0,1
4457,1,628,147.0,44,amsterdam,23,hungarian,0,266534,Boss Western,J.Halliday Inn,0,0,0,1
4462,1,833,141.0,10,vienna,26,hungarian,0,281130,Morriott International,CourtYord,1,0,1,1
4457,1,529,223.0,65,amsterdam,23,hungarian,0,266534,Morriott International,Corlton,1,0,1,1
4457,1,430,154.0,73,amsterdam,23,hungarian,0,266534,Yin Yang,Royal Lotus,0,0,0,1
4464,1,873,203.0,85,madrid,27,hungarian,1,281139,Accar Hotels,Safitel,1,1,0,1
4460,1,746,154.0,5,valletta,3,hungarian,0,281111,Yin Yang,Royal Lotus,1,1,1,1
4464,1,154,216.0,77,madrid,27,hungarian,1,281139,Accar Hotels,Safitel,1,1,0,1
4464,1,252,154.0,61,madrid,27,hungarian,1,281139,Morriott International,Morriot,1,1,0,1
4459,1,355,77.0,85,vilnius,38,hungarian,0,281108,Independant,Independant,1,0,0,1
4464,1,175,92.0,30,madrid,27,hungarian,1,281139,Boss Western,Boss Western,1,0,0,1
4457,1,166,106.0,27,amsterdam,23,hungarian,0,266534,Boss Western,Boss Western,0,0,0,1
4457,1,146,170.0,46,amsterdam,23,hungarian,0,266534,Chillton Worldwide,Quadrupletree,0,0,0,1
4459,1,217,118.0,144,vilnius,38,hungarian,0,281108,Yin Yang,Royal Lotus,1,0,0,1
4464,1,909,65.0,15,madrid,27,hungarian,1,281139,Yin Yang,8 Premium,1,0,0,1
4457,1,925,99.0,23,amsterdam,23,hungarian,0,266534,Boss Western,Boss Western,1,0,0,1
4464,1,186,113.0,56,madrid,27,hungarian,1,281139,Yin Yang,Ardisson,1,0,0,1
4459,1,409,75.0,79,vilnius,38,hungarian,0,281108,Accar Hotels,Navatel,1,0,0,1
4464,1,888,210.0,83,madrid,27,hungarian,1,281139,Morriott International,Corlton,1,0,1,1
4457,1,715,152.0,26,amsterdam,23,hungarian,0,266534,Yin Yang,Ardisson,0,0,0,1
4464,1,439,91.0,31,madrid,27,hungarian,1,281139,Boss Western,Boss Western,1,0,0,1
4457,1,760,173.0,41,amsterdam,23,hungarian,0,266534,Yin Yang,Royal Lotus,0,0,0,1
4457,1,510,251.0,75,amsterdam,23,hungarian,0,266534,Morriott International,Corlton,0,0,0,1
4464,1,297,222.0,86,madrid,27,hungarian,1,281139,Chillton Worldwide,Chill Garden Inn,1,1,0,1
4464,1,285,85.0,21,madrid,27,hungarian,1,281139,Independant,Independant,1,0,0,1
4464,1,618,100.0,30,madrid,27,hungarian,1,281139,Accar Hotels,Navatel,1,0,0,1
4464,1,120,122.0,38,madrid,27,hungarian,1,281139,Yin Yang,Ardisson,1,0,0,1
4464,1,939,137.0,80,madrid,27,hungarian,1,281139,Morriott International,Morriot,1,1,0,1
4457,1,211,144.0,30,amsterdam,23,hungarian,0,266534,Morriott International,CourtYord,1,0,0,1
4457,1,603,259.0,51,amsterdam,23,hungarian,0,266534,Morriott International,Corlton,0,1,0,1
4457,1,193,144.0,28,amsterdam,23,hungarian,0,266534,Independant,Independant,0,0,0,1
4457,1,140,117.0,20,amsterdam,23,hungarian,0,266534,Boss Western,Boss Western,0,0,0,1
4465,1,414,60.0,90,madrid,40,hungarian,0,281151,Independant,Independant,0,0,0,1
4465,1,857,84.0,87,madrid,40,hungarian,0,281151,Accar Hotels,Navatel,1,0,0,1
4454,2,253,322.0,21,amsterdam,12,irish,1,266530,Accar Hotels,Safitel,0,1,2,1
4457,1,581,145.0,18,amsterdam,23,hungarian,0,266534,Independant,Independant,1,0,0,1
4457,1,679,147.0,29,amsterdam,23,hungarian,0,266534,Chillton Worldwide,Tripletree,1,0,0,1
4458,1,655,257.0,170,copenhagen,36,hungarian,0,281106,Accar Hotels,Safitel,0,0,1,1
4457,1,269,148.0,29,amsterdam,23,hungarian,0,266534,Yin Yang,Ardisson,0,1,0,1
4457,1,307,105.0,23,amsterdam,23,hungarian,0,266534,Accar Hotels,Navatel,1,0,0,1
4457,1,158,136.0,36,amsterdam,23,hungarian,0,266534,Yin Yang,Ardisson,0,0,0,1
4457,1,585,73.0,24,amsterdam,23,hungarian,0,266534,Yin Yang,8 Premium,0,0,0,1
4457,1,783,97.0,10,amsterdam,23,hungarian,0,266534,Yin Yang,8 Premium,1,0,0,1
4465,1,982,129.0,154,madrid,40,hungarian,0,281151,Morriott International,Morriot,1,0,0,1
4457,1,625,184.0,44,amsterdam,23,hungarian,0,266534,Yin Yang,Royal Lotus,1,0,0,1
4457,1,10,148.0,28,amsterdam,23,hungarian,0,266534,Chillton Worldwide,Tripletree,0,0,0,1
4457,1,475,101.0,27,amsterdam,23,hungarian,0,266534,Independant,Independant,1,0,0,1
4463,1,137,43.0,35,sofia,35,hungarian,0,281132,Yin Yang,8 Premium,1,0,0,1
4463,1,544,59.0,33,sofia,35,hungarian,0,281132,Independant,Independant,1,0,0,1
4459,1,204,54.0,38,vilnius,38,hungarian,0,281108,Independant,Independant,1,0,0,1
4463,1,25,120.0,153,sofia,35,hungarian,0,281132,Chillton Worldwide,Chill Garden Inn,1,0,0,1
4463,1,862,59.0,62,sofia,35,hungarian,0,281132,Boss Western,Boss Western,1,0,0,1
4457,1,77,248.0,63,amsterdam,23,hungarian,0,266534,Accar Hotels,Safitel,0,1,0,1
4457,1,867,138.0,29,amsterdam,23,hungarian,0,266534,Independant,Independant,1,0,0,1
4457,1,157,268.0,46,amsterdam,23,hungarian,0,266534,Morriott International,Corlton,0,0,0,1
4463,1,304,86.0,109,sofia,35,hungarian,0,281132,Accar Hotels,Marcure,1,0,0,1
4459,1,294,58.0,40,vilnius,38,hungarian,0,281108,Independant,Independant,1,0,0,1
4457,1,442,157.0,48,amsterdam,23,hungarian,0,266534,Accar Hotels,Marcure,0,0,0,1
4457,1,16,173.0,24,amsterdam,23,hungarian,0,266534,Chillton Worldwide,Tripletree,1,0,0,1
4464,1,798,198.0,75,madrid,27,hungarian,1,281139,Accar Hotels,Safitel,0,0,1,1
4457,1,917,260.0,62,amsterdam,23,hungarian,0,266534,Morriott International,Corlton,1,1,0,1
4417,1,529,241.0,99,amsterdam,28,austrian,1,266489,Morriott International,Corlton,1,0,1,1
4457,1,658,154.0,32,amsterdam,23,hungarian,0,266534,Morriott International,CourtYord,1,0,0,1
4406,2,253,264.0,74,amsterdam,25,danish,1,266474,Accar Hotels,Safitel,0,1,2,1
4457,1,224,139.0,43,amsterdam,23,hungarian,0,266534,Yin Yang,Ardisson,1,0,0,1
4457,1,660,156.0,25,amsterdam,23,hungarian,0,266534,Chillton Worldwide,Tripletree,0,0,0,1
4421,1,529,230.0,184,amsterdam,37,austrian,1,266493,Morriott International,Corlton,1,0,1,1
4457,1,373,110.0,24,amsterdam,23,hungarian,0,266534,Boss Western,Boss Western,1,0,0,1
4457,1,387,243.0,56,amsterdam,23,hungarian,0,266534,Accar Hotels,Safitel,1,0,0,1
4457,1,352,97.0,47,amsterdam,23,hungarian,0,266534,Independant,Independant,1,0,0,1
4457,1,743,162.0,30,amsterdam,23,hungarian,0,266534,Morriott International,CourtYord,1,1,0,1
4457,1,34,76.0,13,amsterdam,23,hungarian,0,266534,Independant,Independant,0,0,0,1
4462,1,68,136.0,36,vienna,26,hungarian,0,281130,Morriott International,CourtYord,1,0,1,1
4461,1,253,219.0,257,amsterdam,43,hungarian,1,281117,Accar Hotels,Safitel,0,1,2,1
4453,1,253,259.0,74,amsterdam,25,irish,1,266530,Accar Hotels,Safitel,0,1,2,1
4457,1,326,249.0,63,amsterdam,23,hungarian,0,266534,Chillton Worldwide,Chill Garden Inn,0,1,0,1
4420,1,529,217.0,236,amsterdam,41,estonian,1,266492,Morriott International,Corlton,1,0,1,1
4465,1,828,108.0,47,madrid,40,hungarian,0,281151,Independant,Independant,0,0,0,1
4465,1,997,117.0,104,madrid,40,hungarian,0,281151,Chillton Worldwide,Tripletree,0,0,0,1
4457,1,303,184.0,38,amsterdam,23,hungarian,0,266534,Yin Yang,Royal Lotus,1,1,0,1
4457,1,752,248.0,59,amsterdam,23,hungarian,0,266534,Accar Hotels,Safitel,0,0,0,1
4465,1,233,115.0,105,madrid,40,hungarian,0,281151,Chillton Worldwide,Tripletree,0,0,0,1
4462,1,730,159.0,75,vienna,26,hungarian,0,281130,Morriott International,Morriot,0,0,1,1
4456,1,253,259.0,121,amsterdam,32,austrian,1,266532,Accar Hotels,Safitel,0,1,2,1
4465,1,384,137.0,154,madrid,40,hungarian,0,281151,Accar Hotels,Marcure,1,1,0,1
4465,1,131,136.0,155,madrid,40,hungarian,0,281151,Morriott International,Morriot,1,1,0,1
4459,1,551,58.0,37,vilnius,38,hungarian,0,281108,Yin Yang,8 Premium,1,0,0,1
4459,1,950,70.0,39,vilnius,38,hungarian,0,281108,Independant,Independant,1,0,0,1
4465,1,174,127.0,155,madrid,40,hungarian,0,281151,Accar Hotels,Marcure,0,0,0,1
4463,1,13,55.0,35,sofia,35,hungarian,0,281132,Independant,Independant,1,0,0,1
4336,1,253,233.0,152,amsterdam,36,romanian,1,266385,Accar Hotels,Safitel,0,1,2,1
4294,1,163,170.0,71,amsterdam,29,hungarian,0,266342,Yin Yang,Royal Lotus,0,1,0,1
4294,1,429,233.0,102,amsterdam,29,hungarian,0,266342,Chillton Worldwide,Chill Garden Inn,0,0,0,1
4294,1,604,108.0,36,amsterdam,29,hungarian,0,266342,Accar Hotels,Navatel,1,0,0,1
4294,1,657,157.0,78,amsterdam,29,hungarian,0,266342,Chillton Worldwide,Quadrupletree,1,0,0,1
4294,1,880,108.0,39,amsterdam,29,hungarian,0,266342,Boss Western,Boss Western,0,0,0,1
4294,1,807,257.0,95,amsterdam,29,hungarian,0,266342,Chillton Worldwide,Chill Garden Inn,0,1,0,1
4294,1,465,219.0,114,amsterdam,29,hungarian,0,266342,Morriott International,Corlton,1,1,0,1
4294,1,211,144.0,55,amsterdam,29,hungarian,0,266342,Morriott International,CourtYord,1,0,0,1
4294,1,417,136.0,57,amsterdam,29,hungarian,0,266342,Morriott International,CourtYord,0,0,0,1
4294,1,111,111.0,37,amsterdam,29,hungarian,0,266342,Boss Western,Boss Western,1,0,0,1
4294,1,410,111.0,35,amsterdam,29,hungarian,0,266342,Accar Hotels,Navatel,0,0,0,1
4294,1,588,169.0,48,amsterdam,29,hungarian,0,266342,Independant,Independant,0,0,0,1
4294,1,778,106.0,37,amsterdam,29,hungarian,0,266342,Independant,Independant,1,0,0,1
4294,1,581,142.0,28,amsterdam,29,hungarian,0,266342,Independant,Independant,1,0,0,1
4294,1,507,105.0,32,amsterdam,29,hungarian,0,266342,Boss Western,Boss Western,0,0,0,1
4294,1,685,259.0,88,amsterdam,29,hungarian,0,266342,Morriott International,Corlton,0,0,1,1
4294,1,352,97.0,59,amsterdam,29,hungarian,0,266342,Independant,Independant,1,0,0,1
4294,1,146,170.0,69,amsterdam,29,hungarian,0,266342,Chillton Worldwide,Quadrupletree,0,0,0,1
4294,1,45,147.0,50,amsterdam,29,hungarian,0,266342,Yin Yang,Ardisson,0,0,0,1
4294,1,256,76.0,21,amsterdam,29,hungarian,0,266342,Accar Hotels,Ibas,1,0,0,1
4294,1,105,152.0,45,amsterdam,29,hungarian,0,266342,Yin Yang,Ardisson,0,0,0,1
4294,1,548,223.0,116,amsterdam,29,hungarian,0,266342,Morriott International,Corlton,0,1,0,1
4294,1,455,135.0,52,amsterdam,29,hungarian,0,266342,Yin Yang,Ardisson,0,0,0,1
4294,1,570,98.0,42,amsterdam,29,hungarian,0,266342,Independant,Independant,1,0,0,1
4294,1,450,167.0,82,amsterdam,29,hungarian,0,266342,Morriott International,Morriot,0,0,0,1
4294,1,925,95.0,40,amsterdam,29,hungarian,0,266342,Boss Western,Boss Western,1,0,0,1
4294,1,157,237.0,89,amsterdam,29,hungarian,0,266342,Morriott International,Corlton,0,0,0,1
4294,1,878,97.0,60,amsterdam,29,hungarian,0,266342,Independant,Independant,1,0,0,1
4294,1,475,94.0,44,amsterdam,29,hungarian,0,266342,Independant,Independant,1,0,0,1
4294,1,193,141.0,45,amsterdam,29,hungarian,0,266342,Independant,Independant,0,0,0,1
4293,1,529,227.0,151,amsterdam,34,romanian,1,266341,Morriott International,Corlton,1,0,1,1
4294,1,628,147.0,62,amsterdam,29,hungarian,0,266342,Boss Western,J.Halliday Inn,0,0,0,1
4307,1,529,286.0,17,amsterdam,13,austrian,0,266358,Morriott International,Corlton,1,0,1,1
4294,1,567,76.0,18,amsterdam,29,hungarian,0,266342,Independant,Independant,1,0,0,1
4294,1,529,223.0,106,amsterdam,29,hungarian,0,266342,Morriott International,Corlton,1,0,1,1
4294,1,724,248.0,86,amsterdam,29,hungarian,0,266342,Morriott International,Corlton,1,0,0,1
4294,1,587,148.0,46,amsterdam,29,hungarian,0,266342,Boss Western,J.Halliday Inn,0,0,0,1
4294,1,34,71.0,21,amsterdam,29,hungarian,0,266342,Independant,Independant,0,0,0,1
4294,1,892,176.0,63,amsterdam,29,hungarian,0,266342,Chillton Worldwide,Quadrupletree,0,1,0,1
4294,1,788,106.0,46,amsterdam,29,hungarian,0,266342,Independant,Independant,1,0,0,1
4294,1,715,145.0,46,amsterdam,29,hungarian,0,266342,Yin Yang,Ardisson,0,0,0,1
4294,1,22,158.0,42,amsterdam,29,hungarian,0,266342,Yin Yang,Ardisson,1,0,0,1
4294,1,253,239.0,97,amsterdam,29,hungarian,0,266342,Accar Hotels,Safitel,0,1,2,1
